372,13,5,21,5
373,12,5,18,5
374,7,5,18,5
375,11,5,21,5
376,6,5,17,5
377,9,5,21,5
378,14,5,21,5
379,18,5,18,5
380,18,5,2,1
381,22,5,7,5
382,21,5,14,5
383,21,5,9,5
384,18,5,1,1
385,21,5,4,5
386,18,5,0,1
387,18,5,3,1
388,22,5,12,5
389,19,5,16,5
390,21,5,11,5
391,21,5,16,5
392,21,5,6,5
393,18,5,2,5
394,14,5,-1,5
395,9,5,-1,5
396,1,1,2,5
397,13,5,-4,5
398,4,5,-1,5
399,8,5,-2,5
400,4,5,1,5
401,21,5,1,5
402,5,1,8,5
403,5,1,13,5
404,22,5,17,5
405,18,5,4,1
406,19,5,21,5
407,22,5,3,1
408,19,5,19,5
409,23,5,16,5
410,22,5,1,1
411,19,5,1,5
412,23,5,4,5
413,3,1,-2,5
414,2,1,-2,5
415,11,5,-1,1
416,3,1,19,5
417,2,1,19,5
418,11,5,22,5
419,14,5,22,5
420,9,5,22,5
421,16,5,22,5
422,9,5,4,1
423,1,1,17,5
424,8,5,21,5
425,24,5,2,1
426,24,5,1,1
427,1,5,3,1
428,1,5,2,1
429,1,5,1,1
430,-2,5,11,5
431,-2,5,6,5
432,14,5,-1,1
433,16,5,4,1
434,4,1,17,5
435,16,5,0,1
436,4,1,3,5
437,19,5,4,5
438,22,5,8,5
439,22,5,13,5
440,22,5,3,5
441,19,5,17,5
442,16,5,21,5
443,23,5,14,5
444,4,1,18,5
445,19,5,-1,5
446,5,1,7,5
447,5,1,12,5
448,26,5,2,1
449,3,1,1,5
450,11,5,-2,5
451,16,5,-2,5
452,12,5,-3,5
453,24,5,3,1
454,16,5,-1,1
455,2,1,1,5
456,7,5,-3,5
457,14,5,-2,5
458,11,5,-6,5
459,9,5,-2,5
460,6,5,-2,5
461,6,5,4,5
462,3,5,8,5
463,3,5,13,5
464,7,5,16,5
465,2,5,1,5
466,4,5,-2,5
467,4,5,12,5
468,8,5,3,1
469,11,5,19,5
470,16,5,19,5
471,12,5,22,5
472,17,5,22,5
473,21,5,19,5
474,4,5,18,5
475,7,5,22,5
476,3,5,19,5
477,0,1,3,1
478,3,1,22,5
479,11,5,5,1
480,9,5,0,1
481,1,1,3,5
482,12,5,-4,5
483,13,5,5,1
484,13,5,-1,1
485,8,5,-1,1
486,3,5,3,1
487,-1,5,12,5
488,2,5,16,5
489,6,5,19,5
490,2,1,22,5
491,3,5,0,1
492,6,5,-4,5
493,2,5,-1,5
494,14,5,5,1
495,16,5,5,1
496,12,5,4,1
497,7,5,4,1
498,3,5,17,5
499,6,5,21,5
500,2,5,18,5
501,3,1,24,5
502,2,1,24,5
503,9,5,5,1
504,1,1,22,5
505,12,5,5,1
506,12,5,0,1
507,9,5,-4,5
508,7,5,0,1
509,11,5,-3,5
510,3,5,3,5
511,16,5,-3,5
512,4,1,0,1
513,17,5,-4,5
514,13,5,-7,5
515,6,5,-3,5
516,6,5,-1,5
517,21,5,-1,5
518,5,1,2,5
519,22,5,-2,5
520,18,5,-1,1
521,3,1,-6,5
522,2,1,-6,5
523,3,1,-4,5
524,2,1,-4,5
525,12,5,-8,5
526,9,5,-1,1
527,12,5,-1,1
528,7,5,-1,1
529,3,5,-2,5
530,6,5,-6,5
531,4,1,11,5
532,4,1,6,5
533,24,5,9,5
534,24,5,14,5
535,24,5,3,5
536,24,5,8,5
537,23,5,7,5
538,23,5,12,5
539,4,1,16,5
540,26,5,8,5
541,26,5,13,5
542,23,5,17,5
543,24,5,13,5
544,23,5,2,5
545,4,1,-2,5
546,27,5,9,5
547,27,5,14,5
548,24,5,18,5
549,4,1,21,5
550,16,5,24,5
551,21,5,17,5
552,17,5,4,1
553,18,5,21,5
554,22,5,18,5
555,13,5,23,5
556,18,5,23,5
557,14,5,26,5
558,14,5,24,5
559,9,5,24,5
560,19,5,22,5
561,23,5,19,5
562,26,5,3,1
563,21,5,22,5
564,17,5,5,1
565,13,5,28,5
566,5,1,11,5
567,5,1,16,5
568,22,5,4,1
569,28,5,12,5
570,19,5,24,5
571,23,5,21,5
