nodes, edges, density
203000, 1301188, 1.1520197105639878
204000, 1310519, 1.1521411339138616
205000, 1318837, 1.152197801870001
206000, 1329195, 1.1523789445588586
207000, 1338991, 1.152522918634516
208000, 1349513, 1.152708549410275
209000, 1358178, 1.15277970972756
210000, 1365198, 1.152751381259492
211000, 1374123, 1.1528362104017222
212000, 1383806, 1.1529643210002605
213000, 1393469, 1.1530892633099228
214000, 1404384, 1.1532849295275864
215000, 1414594, 1.1534369984623831
216000, 1425617, 1.1536331839432605
217000, 1435862, 1.153782284353468
218000, 1446246, 1.1539369437922433
219000, 1455362, 1.1540184483964762
220000, 1466370, 1.1542036142304304
221000, 1476510, 1.1543382440404977
222000, 1488155, 1.154553056515432
223000, 1499994, 1.1547751446529058
224000, 1512453, 1.1550271812645938
225000, 1524137, 1.1552341470482705
226000, 1536627, 1.1554806052587128
227000, 1548158, 1.1556731513882657
228000, 1561104, 1.15593638470308
229000, 1574366, 1.1562119252700918
230000, 1588484, 1.156526969366125
231000, 1602054, 1.1568094735231211
232000, 1616205, 1.157116829536735
233000, 1629613, 1.1573826241318668
234000, 1644008, 1.1576930582843603
235000, 1657333, 1.1579466015667397
236000, 1670339, 1.1581810046284475
237000, 1682888, 1.1583900887713336
238000, 1696901, 1.1586659235715102
239000, 1712904, 1.1590315812148302
240000, 1727208, 1.159312220404771
241000, 1743423, 1.1596772588636195
242000, 1759006, 1.1600077076024868
243000, 1774292, 1.160319707183453
244000, 1790434, 1.1606656503417407
245000, 1804779, 1.1609261861741405
246000, 1821066, 1.1612689749785108
247000, 1834443, 1.1614789920789341
248000, 1847989, 1.1616934866734003
249000, 1855182, 1.1616299025830499
250000, 1859509, 1.1614427493836155
251000, 1864202, 1.1612725681228182
252000, 1868751, 1.161097272960131
253000, 1873499, 1.160931621095052
254000, 1878724, 1.160787419613806
255000, 1884102, 1.1606506566414336
256000, 1890219, 1.1605461600310867
257000, 1894971, 1.160384504751958
258000, 1900162, 1.1602423987359072
259000, 1905957, 1.1601266089184161
260000, 1911135, 1.1599856476614314
261000, 1917829, 1.1599089644054226
262000, 1923344, 1.159783598055389
263000, 1930206, 1.1597149410368073
264000, 1936133, 1.159607981708549
265000, 1942262, 1.1595099981688113
266000, 1949580, 1.1594614375482846
267000, 1955339, 1.159349305570411
268000, 1961791, 1.15926611563442
269000, 1968347, 1.1591876273662656
270000, 1975002, 1.1591135878797039
271000, 1980313, 1.1589857224178997
272000, 1987430, 1.1589312698708263
273000, 1995987, 1.1589347334558573
274000, 2002618, 1.1588611950083758
275000, 2009667, 1.1588046651989963
276000, 2017682, 1.1587866337263568
277000, 2024925, 1.1587381505978585
278000, 2033784, 1.1587532915048142
279000, 2039759, 1.1586554260120818
280000, 2048475, 1.158664872909756
281000, 2056584, 1.1586505276775036
282000, 2065154, 1.1586539105540306
283000, 2072881, 1.158624690369854
284000, 2080954, 1.1586087747220883
285000, 2087628, 1.1585394773487216
286000, 2095186, 1.1585041298728531
287000, 2104643, 1.1585407230990836
288000, 2112161, 1.158503814025078
289000, 2120050, 1.158480946863665
290000, 2129254, 1.158507211340996
291000, 2138229, 1.158524558988269
292000, 2147504, 1.1585526857930561
293000, 2156212, 1.1585595076630322
294000, 2165480, 1.1585866431307852
295000, 2174532, 1.1586054874420268
296000, 2183601, 1.1586246208934412
297000, 2193616, 1.158677654282519
298000, 2202298, 1.1586820429463658
299000, 2211277, 1.1586968849179045
300000, 2219636, 1.1586892940335713
301000, 2227570, 1.158666480631794
302000, 2238081, 1.1587349918418763
303000, 2246125, 1.1587157527961136
